X,Y,ID,Z
93.8890026,41.2147485,0.1,0
94.8890026,41.2147485,1.1,0
95.8890026,41.2147485,2.1,0
96.8890026,41.2147485,3.1,0
97.8890026,41.2147485,4.1,0
98.8890026,41.2147485,5.1,0
99.8890026,41.2147485,6.1,0
100.8890026,41.2147485,7.1,0
101.8890026,41.2147485,8.1,0
102.8890026,41.2147485,9.1,0
103.8890026,41.2147485,10.1,0
104.8890026,41.2147485,11.1,0
105.8890026,41.2147485,12.1,0
106.8890026,41.2147485,13.1,0
107.8890026,41.2147485,14.1,0
108.8890026,41.2147485,15.1,0
109.8890026,41.2147485,16.1,0
110.8890026,41.2147485,17.1,0
111.8890026,41.2147485,18.1,0
112.8890026,41.2147485,19.1,0
113.8890026,41.2147485,20.1,0
114.8890026,41.2147485,21.1,0
115.8890026,41.2147485,22.1,0
116.8890026,41.2147485,23.1,0
117.8890026,41.2147485,24.1,0
118.8890026,41.2147485,25.1,0
119.8890026,41.2147485,26.1,0
93.8890026,40.2147485,27.1,0
94.8890026,40.2147485,28.1,0
95.8890026,40.2147485,29.1,0
96.8890026,40.2147485,30.1,0
97.8890026,40.2147485,31.1,0
98.8890026,40.2147485,32.1,0
99.8890026,40.2147485,33.1,0
100.8890026,40.2147485,34.1,0
101.8890026,40.2147485,35.1,0
102.8890026,40.2147485,36.1,0
103.8890026,40.2147485,37.1,0
104.8890026,40.2147485,38.1,0
105.8890026,40.2147485,39.1,0
106.8890026,40.2147485,40.1,0
107.8890026,40.2147485,41.1,0
108.8890026,40.2147485,42.1,0
109.8890026,40.2147485,43.1,0
110.8890026,40.2147485,44.1,0
111.8890026,40.2147485,45.1,0
112.8890026,40.2147485,46.1,0
113.8890026,40.2147485,47.1,0
114.8890026,40.2147485,48.1,0
115.8890026,40.2147485,49.1,0
116.8890026,40.2147485,50.1,0
117.8890026,40.2147485,51.1,0
118.8890026,40.2147485,52.1,0
119.8890026,40.2147485,53.1,0
93.8890026,39.2147485,54.1,0
94.8890026,39.2147485,55.1,0
95.8890026,39.2147485,56.1,0
96.8890026,39.2147485,57.1,0
97.8890026,39.2147485,58.1,0
98.8890026,39.2147485,59.1,0
99.8890026,39.2147485,60.1,0
100.8890026,39.2147485,61.1,0
101.8890026,39.2147485,62.1,0
102.8890026,39.2147485,63.1,0
