SYS_ID;聚类;距离
70609;2;66.000
70610;2;20.933
96358;1;2.045
70612;1;9.783
82921;1;20.857
70613;1;22.344
70614;2;66.000
80573;1;2.718
70617;1;1.647
80574;1;19.450
70618;1;1.647
70619;1;21.345
70620;2;72.829
95415;1;3.950
41145;1;9.571
88003;1;4.611
95423;1;7.225
95427;1;7.225
44394;1;1.830
82936;1;7.143
41377;1;1.183
85577;1;4.296
42737;1;16.654
44398;1;2.781
80627;1;19.736
96381;1;4.582
42739;2;15.490
44401;1;2.560
85581;1;14.828
96383;1;4.582
41302;1;24.010
200020;1;22.286
95443;1;3.950
42746;1;14.397
85588;1;.165
44409;1;2.781
85589;1;4.956
41313;1;24.145
200022;1;16.160
200022;1;16.160
85594;1;4.956
44416;1;7.787
85596;1;13.514
41319;2;18.367
42760;1;21.731
85601;1;14.212
88352;1;17.057
44422;1;3.184
41323;2;18.539
82967;1;1.179
95470;1;8.932
44428;1;3.578
96023;1;20.810
82971;1;6.240
85610;1;3.073
95478;1;7.891
96030;1;20.810
42777;1;7.056
42778;1;8.785
85619;1;9.232
95482;1;7.891
41341;1;.426
42782;1;4.715
44445;1;20.220
41347;2;18.539
44448;1;7.787
41256;1;6.624
43420;1;.118
42791;1;2.355
82994;1;.880
95495;1;2.023
43423;1;12.973
85634;1;9.105
42794;1;6.767
42794;1;6.767
85637;1;9.105
95502;1;.695
96107;1;24.568
85640;1;1.808
85642;1;22.722
85644;2;15.481
44468;1;8.695
96113;1;22.904
41366;1;9.703
42805;1;10.581
95509;2;17.499
83009;1;22.344
42807;1;17.058
83011;1;4.925
85649;1;8.727
43441;2;4.102
85653;1;2.737
41374;1;9.703
83017;1;2.158
43446;1;6.624
41682;1;15.045
42817;1;17.058
95521;2;24.286
42818;1;13.544
44482;1;12.755
95522;1;17.145
42821;1;5.753
83024;1;.580
83024;1;.580
85664;1;11.072
41689;1;15.045
85669;1;8.889
96137;1;6.619
42829;1;5.753
44493;1;12.755
85671;1;4.525
83034;1;2.158
95535;1;11.659
42832;1;7.366
44496;2;19.216
83036;1;3.371
85676;1;6.699
85677;1;1.358
96144;2;22.844
83039;1;22.344
85681;1;14.554
95544;1;6.285
85685;1;14.807
42844;1;14.397
95550;1;2.031
42847;1;5.221
85691;1;14.554
95553;1;2.031
83053;1;6.699
85692;1;5.100
41716;2;19.337
43482;1;5.772
42852;1;5.221
85697;1;.394
42856;1;2.355
42859;1;3.777
41725;2;16.286
42862;1;10.725
43497;1;.118
85706;1;1.004
83069;1;8.272
43503;1;17.508
42869;1;23.537
43506;1;12.973
44537;2;15.994
44539;1;15.815
41740;1;1.186
42877;1;17.140
96436;1;19.467
95585;1;2.190
44320;1;.699
95591;1;5.559
44324;1;9.231
44326;1;1.655
200253;1;19.467
42888;1;.452
44553;2;1.092
41755;2;6.121
96055;1;6.435
44332;1;.626
44558;1;4.432
83099;1;16.019
83099;1;16.019
40161;2;18.356
42896;1;13.642
44335;1;.925
45022;1;17.354
95604;1;7.790
40052;1;6.060
41761;1;3.230
44337;1;9.231
44563;1;3.571
200261;1;6.435
42901;1;14.828
44342;1;.651
45028;1;6.745
200026;1;5.262
43541;1;11.202
41770;1;21.572
45036;1;12.860
41775;2;6.121
45038;1;12.860
41776;2;16.855
42913;1;17.140
44352;1;4.925
40069;1;6.060
41777;1;1.186
44580;1;4.432
42917;1;24.805
44356;1;23.156
95627;1;9.428
41781;1;17.527
200269;1;24.532
44586;1;23.762
40078;1;9.088
45053;1;2.481
44367;1;11.948
40084;1;1.257
200279;1;21.443
41795;2;15.866
45058;1;15.240
95641;1;9.428
200281;1;21.443
40088;1;1.257
200284;2;10.263
95646;1;5.559
45064;1;2.159
44379;1;11.948
41804;2;15.866
200289;2;9.428
44384;1;2.492
44385;1;2.492
40100;2;12.464
43583;1;5.772
83158;1;7.271
45076;1;8.919
43000;2;18.292
44621;2;19.122
44392;1;8.447
83164;1;1.288
70628;1;5.153
83166;1;18.995
83167;1;21.166
43594;1;7.150
41821;1;5.000
83168;1;1.234
82003;1;11.858
83169;1;17.967
83169;1;17.967
83170;1;21.166
95675;1;15.118
45087;1;7.064
83173;1;7.271
82008;1;11.858
41829;1;22.730
83175;1;11.100
43602;1;24.127
41840;1;5.670
82015;1;7.580
40126;2;17.422
43021;1;.426
45098;1;5.938
45100;1;11.807
41838;1;17.527
70203;1;15.310
200326;2;12.357
41850;1;20.085
82024;1;7.580
45106;1;1.004
43618;2;10.754
43031;1;5.246
95699;1;10.101
82032;1;7.204
45113;1;6.745
45117;1;15.240
44661;2;16.823
45118;1;3.235
45119;1;12.176
95709;1;10.101
82040;1;2.643
45121;1;17.354
43046;1;11.685
45122;1;8.919
45123;1;12.637
45124;1;12.187
43049;1;6.549
45127;1;.843
95716;1;5.021
44671;1;15.815
82047;1;.888
43053;1;11.685
41877;1;13.939
43057;1;6.549
82053;1;.192
44679;2;16.823
41882;1;5.670
95724;1;13.310
40404;1;15.232
41886;2;41.105
82058;1;11.252
95729;1;13.310
70249;1;3.796
82061;1;4.447
43068;1;13.901
82063;1;11.252
45146;1;.876
43071;1;9.451
41900;1;1.370
82070;1;.888
45153;1;11.807
82072;1;12.759
45157;1;12.187
40426;1;15.232
41906;1;1.370
82077;1;.692
41907;1;6.540
43084;2;24.330
43676;1;8.239
82082;1;12.759
82085;1;2.674
43092;1;8.166
82091;1;.750
40443;1;21.733
43099;1;12.698
45178;1;7.208
43102;1;16.586
45180;1;6.551
82099;1;.806
87380;1;2.162
43696;1;8.239
40451;1;21.733
70295;1;3.678
82102;1;7.795
41935;2;1.714
87391;1;3.860
45188;1;11.536
71057;1;.360
43115;1;12.698
45192;1;11.536
70307;1;15.446
40463;2;23.662
43709;1;7.150
43121;1;14.382
45198;1;13.120
41950;2;16.826
70312;1;8.932
45199;1;3.073
99004;1;17.311
43125;1;10.359
45203;1;15.880
41955;1;11.021
43718;1;10.618
43130;1;4.480
41958;2;24.477
70324;1;22.459
41960;1;19.041
43134;1;13.348
82128;1;.668
45210;1;11.431
87119;1;.213
43137;1;13.348
45213;1;11.431
87122;1;4.435
70333;1;9.988
43730;1;15.415
45224;1;5.876
87125;1;4.435
82138;1;.668
200433;1;.210
70340;1;14.046
82141;1;5.173
82141;1;5.173
41975;1;10.182
45651;1;13.671
45652;1;13.671
70344;1;14.046
45239;1;5.876
40511;1;6.089
43153;1;7.371
99034;2;36.974
41980;1;17.745
45243;1;13.010
87140;1;10.921
82150;1;4.609
200012;1;8.197
99041;2;36.974
45662;1;2.195
40520;1;6.089
200450;2;17.545
41996;1;11.021
82158;1;4.659
45670;1;14.043
40528;1;4.476
45258;1;14.807
45674;1;14.043
40533;1;.593
43175;1;18.204
82167;1;7.813
