InputID,TargetID,Distance,QCL_1,QCL_2
87421,87425,.113781314,1,.056071698927302
87425,87421,.113781314,1,.056071698927302
43125,43186,.114968954,1,.054884058927302
43186,43125,.114968954,1,.054884058927302
41975,43920,.116559779,1,.053293233927302
43920,41975,.116559779,1,.053293233927302
87247,87100,.11674079,1,.053112222927302
87247,87690,.11674079,1,.053112222927302
87575,87619,.117665949,1,.052187063927302
87619,87575,.117665949,1,.052187063927302
85240,85241,.118208941,1,.051644071927302
87407,87439,.118653058,1,.051199954927302
87439,87407,.118653058,1,.051199954927302
82569,82588,.119397354,1,.050455658927302
82588,82569,.119397354,1,.050455658927302
87236,87543,.119916458,1,.049936554927302
87543,87236,.119916458,1,.049936554927302
70414,70612,.120142597,1,.049710415927302
70612,70414,.120142597,1,.049710415927302
87250,87247,.120635252,1,.049217760927302
42687,42681,.120698297,1,.049154715927302
85388,85393,.121052463,1,.048800549927302
85393,85388,.121052463,1,.048800549927302
85147,45198,.121607175,1,.048245837927302
95086,95093,.121900176,1,.047952836927302
95093,95086,.121900176,1,.047952836927302
82503,82506,.122184549,1,.047668463927302
82506,82503,.122184549,1,.047668463927302
45216,42818,.122673945,1,.047179067927302
45295,45326,.123241637,1,.046611375927302
45326,45295,.123241637,1,.046611375927302
95627,95641,.123329683,1,.046523329927302
95641,95627,.123329683,1,.046523329927302
44324,44337,.125098705,1,.044754307927302
44337,44324,.125098705,1,.044754307927302
82494,82512,.125461398,1,.044391614927302
82512,82494,.125461398,1,.044391614927302
45285,45290,.126223977,1,.043629035927302
45290,45285,.126223977,1,.043629035927302
85634,85637,.126235438,1,.043617574927302
85637,85634,.126235438,1,.043617574927302
40078,40781,.12638895,1,.043464062927302
40781,40078,.12638895,1,.043464062927302
95010,95070,.126808791,1,.043044221927302
95070,95010,.126808791,1,.043044221927302
70312,95470,.127792342,1,.042060670927302
95470,70312,.127792342,1,.042060670927302
45076,45122,.127903195,1,.041949817927302
45122,45076,.127903195,1,.041949817927302
85669,45290,.128178838,1,.041674174927302
82807,82811,.131217425,1,.038635587927302
82811,82807,.131217425,1,.038635587927302
95145,95168,.13168679,1,.038166222927302
82708,82709,.132090342,1,.037762670927302
82709,82708,.132090342,1,.037762670927302
44392,44337,.132146021,1,.037706991927302
82618,82687,.13220988,1,.037643132927302
87096,87244,.132866508,1,.036986504927302
87244,87096,.132866508,1,.036986504927302
82846,82871,.133103051,1,.036749961927302
82871,82846,.133103051,1,.036749961927302
83069,95285,.133721521,1,.036131491927302
95285,83069,.133721521,1,.036131491927302
82282,82531,.134925635,1,.034927377927302
82531,82282,.134925635,1,.034927377927302
82879,82843,.13612467,1,.033728342927302
87036,87513,.137141054,1,.032711958927302
87513,87036,.137141054,1,.032711958927302
95478,95482,.13714374,1,.032709272927302
95482,95478,.13714374,1,.032709272927302
82167,82175,.13784157,1,.032011442927302
82175,82167,.13784157,1,.032011442927302
82102,82167,.138001086,1,.031851926927302
82196,87310,.138021528,1,.031831484927302
87310,82196,.138021528,1,.031831484927302
44416,44448,.138076315,1,.031776697927302
44448,44416,.138076315,1,.031776697927302
43324,43335,.138170349,1,.031682663927302
43335,43324,.138170349,1,.031682663927302
82015,82024,.139929315,1,.029923697927302
82024,82015,.139929315,1,.029923697927302
95152,95145,.141170297,1,.028682715927302
82461,82465,.141193117,1,.028659895927302
82465,82461,.141193117,1,.028659895927302
43153,43187,.141806753,1,.028046259927302
43187,43153,.141806753,1,.028046259927302
70418,70930,.142263272,1,.027589740927302
70930,70418,.142263272,1,.027589740927302
70983,200048,.142316971,1,.027536041927302
70983,200395,.142316971,1,.027536041927302
83158,83173,.142708862,1,.027144150927302
83173,83158,.142708862,1,.027144150927302
45291,85669,.142738902,1,.027114110927302
95423,95427,.143124212,1,.026728800927302
95427,95423,.143124212,1,.026728800927302
45178,45269,.143278926,1,.026574086927302
45269,45178,.143278926,1,.026574086927302
87206,87575,.143611706,1,.026241306927302
87296,87326,.144836132,1,.025016880927302
87326,87296,.144836132,1,.025016880927302
85253,85256,.144933434,1,.024919578927302
85256,85253,.144933434,1,.024919578927302
87073,87356,.145019931,1,.024833081927302
82520,82871,.145299389,1,.024553623927302
82852,82846,.145877738,1,.023975274927302
95323,95341,.145922586,1,.023930426927302
95341,95323,.145922586,1,.023930426927302
82259,82265,.146949986,1,.022903026927302
82265,82259,.146949986,1,.022903026927302
85131,85147,.147017589,1,.022835423927302
82523,82259,.147185054,1,.022667958927302
42794,82147,.14723865,1,.022614362927302
42794,82143,.14723865,1,.022614362927302
45028,45113,.147435494,1,.022417518927302
45113,45028,.147435494,1,.022417518927302
83053,83069,.147851239,1,.022001773927302
45277,45269,.14809826,1,.021754752927302
82323,83175,.148424837,1,.021428175927302
45180,45269,.149176069,1,.020676943927302
82525,82531,.151841722,1,.018011290927302
85267,85280,.152071264,1,.017781748927302
85280,85267,.152071264,1,.017781748927302
40511,40520,.153327236,1,.016525776927302
40520,40511,.153327236,1,.016525776927302
45514,45529,.154394214,1,.015458798927302
45529,45514,.154394214,1,.015458798927302
87241,87240,.155851577,1,.014001435927302
87494,87499,.159071647,1,.010781365927302
85222,85241,.159775874,1,.010077138927302
95291,95248,.160309473,1,.009543539927302
87548,87533,.1603173,1,.00953571292730201
87548,87211,.1603173,1,.00953571292730201
82502,82506,.160645509,1,.00920750392730202
200026,45036,.160754582,1,.009098430927302
85047,85054,.161502751,1,.00835026192730201
85054,85047,.161502751,1,.00835026192730201
82141,82147,.161554594,1,.00829841892730201
82141,82143,.161554594,1,.00829841892730201
70628,95285,.161736182,1,.008116830927302
87015,87223,.161747206,1,.00810580692730201
87223,87015,.161747206,1,.00810580692730201
85692,45123,.162216128,1,.00763688492730202
95716,95729,.162922903,1,.006930109927302
43181,43153,.162966053,1,.00688695992730201
41821,41955,.163107556,1,.00674545692730202
85589,85594,.163504142,1,.00634887092730202
85594,85589,.163504142,1,.00634887092730202
44352,83011,.163779657,1,.00607335592730202
83011,44352,.163779657,1,.00607335592730202
82755,82749,.165471837,1,.004381175927302
82841,82901,.166224037,1,.00362897592730202
82901,82841,.166224037,1,.00362897592730202
45318,45295,.166385283,1,.00346772992730202
88003,87073,.166605682,1,.00324733092730201
96381,96383,.16686606,1,.002986952927302
96383,96381,.16686606,1,.002986952927302
85671,45290,.167374333,1,.00247867992730202
87233,87173,.167532281,1,.00232073192730201
87122,87125,.168188328,1,.00166468492730201
87125,87122,.168188328,1,.00166468492730201
44558,44580,.168214459,1,.001638553927302
44580,44558,.168214459,1,.001638553927302
43220,43186,.168401997,1,.00145101592730201
45219,45234,.168766883,1,.001086129927302
45234,45219,.168766883,1,.001086129927302
70740,70643,.170741473,1,.000888460072697994
70740,70646,.170741473,1,.000888460072697994
82635,82633,.171403398,1,.001550385072698
82581,43335,.172417765,1,.00256475207269799
87093,87241,.172534748,1,.00268173507269798
95415,95443,.172545521,1,.002692508072698
95443,95415,.172545521,1,.002692508072698
87186,200020,.173240148,1,.003387135072698
70249,70418,.173924013,1,.00407100007269798
42859,43252,.174095361,1,.00424234807269799
43252,42859,.174095361,1,.00424234807269799
45694,45651,.174741394,1,.00488838107269798
70295,70422,.174982077,1,.005129064072698
