InputID,TargetID,Distance,Distance(km)
87506,87489,0.028358711,3.156891729
42171,42193,1.018235308,113.3499544
45437,45445,0.29996992,33.39265146
87513,87036,0.137141054,15.26654218
85312,85495,0.177532285,19.76289394
95134,95675,0.396070913,44.09061403
87538,87293,0.21455013,23.88372042
82644,45702,0.221196713,24.62361813
95145,95168,0.13168679,14.65937341
45445,45437,0.29996992,33.39265146
87575,87619,0.117665949,13.09857347
82650,82657,0.268068678,29.84140521
87577,87206,0.247736674,27.57804654
87173,87061,0.026165147,2.912704157
42184,42147,1.106341852,123.1579749
87619,87575,0.117665949,13.09857347
70032,70005,0.256124598,28.51179021
85325,85292,0.182236096,20.28652215
95152,95145,0.141170297,15.7150775
82657,82650,0.268068678,29.84140521
45453,200169,0.900747747,100.2712392
200169,200326,0.773880065,86.14832883
96341,44468,0.661559344,73.64478618
40934,40965,0.421284683,46.89741095
70040,70060,0.584873905,65.10816313
42193,42269,0.600958047,66.89864979
85333,85312,0.18360984,20.43944739
87188,200020,0.007829381,0.871566645
44143,43911,0.92979317,103.5045757
44147,44151,0.270998443,30.16754665
95168,95172,0.10436525,11.61793968
40944,41217,0.398098179,44.31628931
44151,44147,0.270998443,30.16754665
95172,95168,0.10436525,11.61793968
85344,85481,0.375032305,41.74859618
87209,87188,0.203471673,22.65046664
82680,82683,0.245877671,27.37110236
85350,85337,0.190308406,21.18513174
85350,85334,0.190308406,21.18513174
70060,70040,0.584873905,65.10816313
82683,82680,0.245877671,27.37110236
85353,85350,0.235805504,26.2498687
45514,45529,0.154394214,17.18716389
88449,87240,0.010553067,1.174767429
45519,45529,0.273631451,30.46065317
82687,82692,0.059581149,6.632573492
87203,87206,0.2415416,26.88841093
87355,87616,0.183977472,20.48037217
45522,80573,0.352831593,39.27721295
87616,87356,0.108510925,12.07943614
40965,40934,0.421284683,46.89741095
87231,87086,0.186833179,20.79826945
87231,87217,0.186833179,20.79826945
82692,82687,0.059581149,6.632573492
45525,45514,0.270752103,30.1401241
87233,87173,0.167532281,18.64969347
45526,80573,0.183605543,20.4389691
45527,45525,0.378746113,42.16201731
70079,70032,0.580133516,64.58046302
82696,82708,0.19734555,21.9685066
45529,45514,0.154394214,17.18716389
45530,45532,0.499506374,55.60504959
45532,45530,0.499506374,55.60504959
42230,42264,0.427216453,47.5577355
82700,82749,0.095973859,10.68381004
45547,80467,0.209809334,23.35597503
85371,85376,0.071809965,7.993885261
40980,40996,0.66582245,74.11935517
85376,85371,0.071809965,7.993885261
42238,42256,0.668321328,74.39753024
95217,95152,0.497926908,55.42922334
82708,82709,0.132090342,14.70429689
70920,71057,0.211257092,23.51713946
82709,82708,0.132090342,14.70429689
85381,85410,0.517985847,57.66218445
70098,70104,0.5099547,56.76815719
85385,85388,0.185420013,20.6409558
85386,85440,0.069026833,7.684067012
70104,70098,0.5099547,56.76815719
85388,85393,0.121052463,13.47556018
95230,70312,0.250293677,27.86269209
82749,82700,0.095973859,10.68381004
