X,Y,ID,X,Y,value
104.075475,30.665916,211047,104.075474999999997,30.665915999999999,5
112.863149,36.116395,95323,112.863149000000007,36.116394999999997,5
104.078,30.65039,hvd_113523,104.078000000000003,30.650390000000002,5
117.103175,36.2569183,taishan,117.103174999999993,36.256918300000002,5
104.92928,33.39484,hvd_110180,104.929280000000006,33.394840000000002,5
118.37041,36.86401,85234,118.370410000000007,36.864010000000000,5
104.65988,34.9836,hvd_110181,104.659880000000001,34.983600000000003,5
107.036067,33.072893,211672,107.036067000000003,33.072893000000001,5
104.28436,33.62903,qiangdao,104.284360000000007,33.629030000000000,5
112.9865424,34.5196623,songshan,112.986542400000005,34.519662300000000,5
104.286183,30.994009,211050,104.286182999999994,30.994008999999998,5
118.340384,34.636984,212614,118.340384000000000,34.636983999999998,5
114.2266873,35.6444798,fangcheng,114.226687299999995,35.644479799999999,5
101.5818192,35.3002082,hexi,101.581819199999998,35.300208200000000,5
112.3607073,35.4653663,xicheng,112.360707300000001,35.465366299999999,5
105.21498,33.95291,hvd_112802,105.214979999999997,33.952910000000003,5
105.21498,33.95291,hvd_112802,105.214979999999997,33.952910000000003,5
113.02336,33.25974,hvd_82783,113.023359999999997,33.259740000000001,5
109.01698,32.70456,200069,109.016980000000004,32.704560000000001,5
117.103175,36.2569183,taishan,117.103174999999993,36.256918300000002,5
119.938,37.17543,hvd_85433,119.938000000000002,37.175429999999999,5
113.78767,35.03897,hvd_82523,113.787670000000006,35.038969999999999,5
109.01698,32.70456,200069,109.016980000000004,32.704560000000001,5
117.103175,36.2569183,taishan,117.103174999999993,36.256918300000002,5
118.344592,36.851221,210495,118.344592000000006,36.851221000000002,5
117.103175,36.2569183,taishan,117.103174999999993,36.256918300000002,5
118.28753,36.80961,hvd_115689,118.287530000000004,36.809609999999999,5
111.0076,35.0264,yanchi,111.007599999999996,35.026400000000002,5
119.61617,33.305,hvd_42737,119.616169999999997,33.305000000000000,5
117.103175,36.2569183,taishan,117.103174999999993,36.256918300000002,5
114.47204,36.59347,87010,114.472040000000007,36.593470000000003,5
111.0076,35.0264,yanchi,111.007599999999996,35.026400000000002,5
104.28436,33.62903,qiangdao,104.284360000000007,33.629030000000000,5
98.510691,39.743699,211885,98.510690999999994,39.743698999999999,5
112.9865424,34.5196623,songshan,112.986542400000005,34.519662300000000,5
118.88799,36.630444,210521,118.887990000000002,36.630443999999997,5
117.103175,36.2569183,taishan,117.103174999999993,36.256918300000002,5
113.256066,23.134624,34191,113.256066000000004,23.134623999999999,5
113.46706,34.16249,hvd_116101,113.467060000000004,34.162489999999998,5
117.103175,36.2569183,taishan,117.103174999999993,36.256918300000002,5
118.30271,34.64131,hvd_33402,118.302710000000005,34.641309999999997,5
114.47204,36.59347,87010,114.472040000000007,36.593470000000003,5
104.075475,30.665916,211047,104.075474999999997,30.665915999999999,5
104.286183,30.994009,211050,104.286182999999994,30.994008999999998,5
113.025139,25.802719,32836,113.025138999999996,25.802719000000000,5
114.563995,38.140121,212393,114.563995000000006,38.140121000000001,5
99.25789,25.15477,211954,99.257890000000003,25.154769999999999,5
108.160143,29.294335,211010,108.160143000000005,29.294335000000000,5
105.655197,33.849018,211791,105.655197000000001,33.849018000000001,5
94.524344,40.052387,211893,94.524343999999999,40.052387000000003,5
109.14697,34.23927,hvd_70749,109.146969999999996,34.239269999999998,5
109.14697,34.23927,hvd_70749,109.146969999999996,34.239269999999998,5
108.17096,29.29206,hvd_115234,108.170959999999994,29.292059999999999,5
105.655197,33.849018,211791,105.655197000000001,33.849018000000001,5
114.516712,36.591012,212381,114.516711999999998,36.591011999999999,5
110.41963,35.39751,70312,110.419629999999998,35.397509999999997,5
104.078,30.65039,hvd_113523,104.078000000000003,30.650390000000002,5
113.256066,23.134624,34191,113.256066000000004,23.134623999999999,5
102.26695,27.89982,hvd_116149,102.266949999999994,27.899819999999998,5
110.41963,35.39751,70312,110.419629999999998,35.397509999999997,5
104.078,30.65039,hvd_115804,104.078000000000003,30.650390000000002,5
118.340384,34.636984,212614,118.340384000000000,34.636983999999998,5
102.26695,27.89982,hvd_116149,102.266949999999994,27.899819999999998,5
117.103175,36.2569183,taishan,117.103174999999993,36.256918300000002,5
101.5818192,35.3002082,hexi,101.581819199999998,35.300208200000000,5
115.89772,28.6749,hvd_32583,115.897720000000007,28.674900000000001,5
110.15652,20.26113,hvd_34243,110.156520000000000,20.261130000000001,5
103.71526,27.34327,hvd_112822,103.715260000000001,27.343270000000000,5
117.00031,36.64912,45022,117.000309999999999,36.649120000000003,5
118.38945,35.1538,hvd_115519,118.389449999999997,35.153799999999997,5
117.00031,36.64912,45022,117.000309999999999,36.649120000000003,5
116.8743628,36.6115209,yangqishan,116.874362800000000,36.611520900000002,5
114.461205,39.0580325,changshan,114.461205000000007,39.058032500000003,5
104.28436,33.62903,qiangdao,104.284360000000007,33.629030000000000,5
115.94853,38.22616,87356,115.948530000000005,38.226160000000000,5
114.47204,36.59347,87010,114.472040000000007,36.593470000000003,5
117.103175,36.2569183,taishan,117.103174999999993,36.256918300000002,5
0,0,45022,,,5
115.973333,29.5725,lushan,115.973332999999997,29.572500000000002,5
118.38945,35.1538,hvd_115519,118.389449999999997,35.153799999999997,5
117.00031,36.64912,45022,117.000309999999999,36.649120000000003,5
117.00031,36.64912,45022,117.000309999999999,36.649120000000003,5
118.0821683,35.4741413,mengshan,118.082168300000006,35.474141299999999,5
112.9865424,34.5196623,songshan,112.986542400000005,34.519662300000000,5
117.103175,36.2569183,taishan,117.103174999999993,36.256918300000002,5
