X,Y,ID,VALUE
95.48560309,48.45562934,0,0
96.48560309,48.45562934,1,0
97.48560309,48.45562934,2,0
98.48560309,48.45562934,3,0
99.48560309,48.45562934,4,0
100.4856031,48.45562934,5,0
101.4856031,48.45562934,6,0
102.4856031,48.45562934,7,0
103.4856031,48.45562934,8,0
104.4856031,48.45562934,9,0
105.4856031,48.45562934,10,0
106.4856031,48.45562934,11,0
107.4856031,48.45562934,12,0
108.4856031,48.45562934,13,0
109.4856031,48.45562934,14,0
110.4856031,48.45562934,15,0
111.4856031,48.45562934,16,0
112.4856031,48.45562934,17,0
113.4856031,48.45562934,18,0
114.4856031,48.45562934,19,0
115.4856031,48.45562934,20,0
116.4856031,48.45562934,21,0
117.4856031,48.45562934,22,0
118.4856031,48.45562934,23,0
119.4856031,48.45562934,24,0
120.4856031,48.45562934,25,0
121.4856031,48.45562934,26,0
122.4856031,48.45562934,27,0
123.4856031,48.45562934,28,0
124.4856031,48.45562934,29,0
125.4856031,48.45562934,30,0
126.4856031,48.45562934,31,0
127.4856031,48.45562934,32,0
128.4856031,48.45562934,33,0
129.4856031,48.45562934,34,0
130.4856031,48.45562934,35,0
131.4856031,48.45562934,36,0
95.48560309,47.45562934,37,0
96.48560309,47.45562934,38,0
97.48560309,47.45562934,39,0
98.48560309,47.45562934,40,0
99.48560309,47.45562934,41,0
100.4856031,47.45562934,42,0
101.4856031,47.45562934,43,0
102.4856031,47.45562934,44,0
103.4856031,47.45562934,45,0
104.4856031,47.45562934,46,0
105.4856031,47.45562934,47,0
106.4856031,47.45562934,48,0
107.4856031,47.45562934,49,0
108.4856031,47.45562934,50,0
109.4856031,47.45562934,51,0
110.4856031,47.45562934,52,0
111.4856031,47.45562934,53,0
112.4856031,47.45562934,54,0
113.4856031,47.45562934,55,0
114.4856031,47.45562934,56,0
115.4856031,47.45562934,57,0
116.4856031,47.45562934,58,0
117.4856031,47.45562934,59,0
118.4856031,47.45562934,60,0
119.4856031,47.45562934,61,0
120.4856031,47.45562934,62,0
121.4856031,47.45562934,63,0
122.4856031,47.45562934,64,0
123.4856031,47.45562934,65,0
124.4856031,47.45562934,66,0
125.4856031,47.45562934,67,0
126.4856031,47.45562934,68,0
127.4856031,47.45562934,69,0
128.4856031,47.45562934,70,0
129.4856031,47.45562934,71,0
130.4856031,47.45562934,72,0
131.4856031,47.45562934,73,0
95.48560309,46.45562934,74,0
96.48560309,46.45562934,75,0
97.48560309,46.45562934,76,0
98.48560309,46.45562934,77,0
99.48560309,46.45562934,78,0
100.4856031,46.45562934,79,0
101.4856031,46.45562934,80,0
102.4856031,46.45562934,81,0
103.4856031,46.45562934,82,0
104.4856031,46.45562934,83,0
105.4856031,46.45562934,84,0
106.4856031,46.45562934,85,0
107.4856031,46.45562934,86,0
108.4856031,46.45562934,87,0
109.4856031,46.45562934,88,0
110.4856031,46.45562934,89,0
111.4856031,46.45562934,90,0
112.4856031,46.45562934,91,0
113.4856031,46.45562934,92,0
114.4856031,46.45562934,93,0
115.4856031,46.45562934,94,0
116.4856031,46.45562934,95,0
117.4856031,46.45562934,96,0
118.4856031,46.45562934,97,0
119.4856031,46.45562934,98,0
120.4856031,46.45562934,99,0
121.4856031,46.45562934,100,0
122.4856031,46.45562934,101,0
123.4856031,46.45562934,102,0
124.4856031,46.45562934,103,0
125.4856031,46.45562934,104,0
126.4856031,46.45562934,105,0
127.4856031,46.45562934,106,0
128.4856031,46.45562934,107,0
129.4856031,46.45562934,108,0
130.4856031,46.45562934,109,0
131.4856031,46.45562934,110,0
95.48560309,45.45562934,111,0
96.48560309,45.45562934,112,0
97.48560309,45.45562934,113,0
98.48560309,45.45562934,114,0
99.48560309,45.45562934,115,0
100.4856031,45.45562934,116,0
101.4856031,45.45562934,117,0
102.4856031,45.45562934,118,0
103.4856031,45.45562934,119,0
104.4856031,45.45562934,120,0
105.4856031,45.45562934,121,0
106.4856031,45.45562934,122,0
107.4856031,45.45562934,123,0
108.4856031,45.45562934,124,0
109.4856031,45.45562934,125,0
110.4856031,45.45562934,126,0
111.4856031,45.45562934,127,0
112.4856031,45.45562934,128,0
113.4856031,45.45562934,129,0
114.4856031,45.45562934,130,0
115.4856031,45.45562934,131,0
116.4856031,45.45562934,132,0
117.4856031,45.45562934,133,0
118.4856031,45.45562934,134,0
119.4856031,45.45562934,135,0
120.4856031,45.45562934,136,0
121.4856031,45.45562934,137,0
122.4856031,45.45562934,138,0
123.4856031,45.45562934,139,0
124.4856031,45.45562934,140,0
125.4856031,45.45562934,141,0
